gisaid_epi_isl,Region,Lab,Date
EPI_ISL_402308_2019-11-07,China,Chongqing-Yuzhong,2019.849315
EPI_ISL_402209_2019-11-20,China,Zhejiang-Liandou,2019.884932
EPI_ISL_411134_2019-11-24,China,Tianjin-Nankai,2019.89589
EPI_ISL_406296_2019-11-28,China,Hong Kong,2019.906849
EPI_ISL_402264_2019-11-28,China,Xinjiang-Hutubi,2019.906849
EPI_ISL_410594_2019-12-23,China,Beijing-Xicheng,2019.975342
EPI_ISL_409404_2019-12-21,China,Hong Kong,2019.969863
EPI_ISL_410662_2019-12-03,China,Chongqing-Fuling,2019.920548
EPI_ISL_409388_2019-12-18,China,Hong Kong,2019.961644
EPI_ISL_402164_2019-12-09,China,Hubei-Shashi,2019.936986
EPI_ISL_387297_2019-01-14,Western Asia,Turkey,2019.035616
EPI_ISL_337977_2019-01-15,Western Asia,Israel,2019.038356
EPI_ISL_342080_2019-01-14,Western Asia,Armenia,2019.035616
EPI_ISL_357815_2019-01-19,Western Asia,Kuwait,2019.049315
EPI_ISL_355097_2019-01-19,Western Asia,Palestine,2019.049315
EPI_ISL_355647_2019-02-24,Western Asia,Oman,2019.147945
EPI_ISL_397261_2019-02-19,Western Asia,Lebanon,2019.134247
EPI_ISL_391108_2019-02-26,Western Asia,Kazakhstan,2019.153425
EPI_ISL_355653_2019-02-14,Western Asia,Oman,2019.120548
EPI_ISL_397262_2019-02-27,Western Asia,Lebanon,2019.156164
EPI_ISL_362613_2019-03-24,Western Asia,Ulgii,2019.224658
EPI_ISL_394013_2019-03-25,Western Asia,Lebanon,2019.227397
EPI_ISL_364788_2019-03-07,Western Asia,Iran,2019.178082
EPI_ISL_367778_2019-04-01,Western Asia,Georgia,2019.246575
EPI_ISL_361945_2019-04-01,Western Asia,Georgia,2019.246575
EPI_ISL_388687_2019-04-26,Western Asia,Armenia,2019.315068
EPI_ISL_361875_2019-04-12,Western Asia,Iran,2019.276712
EPI_ISL_395104_2019-04-09,Western Asia,Lebanon,2019.268493
EPI_ISL_387053_2019-04-17,Western Asia,Jordan,2019.290411
EPI_ISL_378097_2019-04-26,Western Asia,Lebanon,2019.315068
EPI_ISL_390009_2019-05-15,Western Asia,Abu Dhabi,2019.367123
EPI_ISL_390008_2019-05-15,Western Asia,Abu Dhabi,2019.367123
EPI_ISL_397267_2019-05-23,Western Asia,Lebanon,2019.389041
EPI_ISL_394018_2019-05-23,Western Asia,Lebanon,2019.389041
EPI_ISL_393975_2019-05-21,Western Asia,Armenia,2019.383562
EPI_ISL_394036_2019-06-25,Western Asia,Oman,2019.479452
EPI_ISL_394019_2019-06-28,Western Asia,Lebanon,2019.487671
EPI_ISL_389256_2019-06-25,Western Asia,Oman,2019.479452
EPI_ISL_394038_2019-07-18,Western Asia,Oman,2019.542466
EPI_ISL_394037_2019-07-11,Western Asia,Oman,2019.523288
EPI_ISL_389224_2019-07-18,Western Asia,Oman,2019.542466
EPI_ISL_389223_2019-07-11,Western Asia,Oman,2019.523288
EPI_ISL_397298_2019-08-23,Western Asia,Qatar,2019.641096
EPI_ISL_401710_2019-08-21,Western Asia,Qatar,2019.635616
EPI_ISL_401718_2019-08-29,Western Asia,Qatar,2019.657534
EPI_ISL_397300_2019-08-25,Western Asia,Qatar,2019.646575
EPI_ISL_401725_2019-08-25,Western Asia,Qatar,2019.646575
